# {"env_id": "HopperAdv-v1", "t_start": 1542744177.1193388} 
r,l,t
609.9565,196,2022.430339
603.886416,192,2023.637531
477.846321,157,2024.660321
87.233771,51,2024.99129
316.35001,126,2025.830554
583.134544,200,2027.210999
811.204899,254,2075.728187
484.213941,162,2076.801371
688.742442,217,2078.221694
639.398112,200,2079.412558
351.131314,134,2080.334044
591.75732,192,2081.490736
460.516943,157,2082.543603
589.922096,179,2083.697701
544.962533,170,2084.882842
477.6762,183,2086.078206
543.470593,178,2087.337404
601.989842,200,2088.647125
595.215319,191,2141.58556
626.747016,196,2142.906387
501.830437,164,2144.070069
498.467,180,2145.321828
626.418071,197,2146.681282
602.733781,192,2147.960201
588.68321,183,2149.207033
633.243853,191,2150.459085
596.889533,180,2151.591554
632.329958,199,2152.90745
571.338853,175,2154.077693
696.633872,216,2203.631103
507.996062,175,2204.827888
517.274847,176,2206.095441
568.044754,175,2207.328595
648.602274,203,2208.714907
570.094348,197,2210.028487
592.449881,186,2211.135873
415.704903,145,2212.002965
549.295066,174,2213.120959
552.006082,173,2214.265042
547.095016,185,2215.496794
964.65053,304,2266.423753
629.039204,202,2267.843678
635.339608,203,2269.172766
612.560096,193,2270.412746
605.503754,189,2271.648355
568.209223,175,2272.709209
539.482942,189,2273.981129
573.075813,196,2275.273537
643.272153,192,2276.550318
748.115713,232,2278.145749
613.395262,196,2328.713822
640.992706,201,2329.921681
612.292525,181,2331.070247
637.00152,198,2332.249912
605.275814,192,2333.463644
810.773621,246,2335.103316
620.181378,190,2336.296966
623.359516,192,2337.546101
661.34593,211,2338.864707
601.715105,187,2340.067666
842.497644,256,2392.256627
645.650542,200,2393.548056
505.66519,163,2394.66732
608.259676,188,2395.886935
619.708414,197,2397.217772
583.438829,199,2398.556479
598.937014,191,2399.787829
612.657043,204,2401.073515
556.210958,177,2402.266058
605.61728,199,2403.509268
537.461079,171,2404.579469
635.296203,198,2456.632949
747.471379,237,2458.224117
594.226063,197,2459.502131
651.031499,196,2460.772033
487.07017,169,2461.816668
605.373856,187,2463.06448
778.878206,239,2464.743741
608.51172,201,2466.165326
627.495475,201,2467.601696
592.031605,193,2469.148655
621.57979,190,2525.27764
555.555418,177,2526.464644
613.86235,197,2527.869527
591.151019,192,2529.301825
787.142975,239,2531.012527
630.334541,207,2532.455046
618.025615,193,2533.753957
401.75641,142,2534.751796
762.048699,243,2536.471206
675.525676,210,2537.891694
629.084225,191,2590.570589
597.826037,195,2591.884085
774.278236,236,2593.496133
636.295856,198,2594.868797
717.668949,221,2596.396101
642.785468,206,2597.645754
822.177721,244,2599.160168
683.346134,219,2600.726025
637.440796,194,2602.049709
665.368942,211,2603.538162
755.688278,227,2658.585461
600.714506,188,2659.815398
636.636715,209,2661.220242
695.382209,219,2662.654598
601.623448,197,2663.978889
642.430373,197,2665.184064
600.891133,184,2666.423093
773.247179,235,2668.025816
630.219195,192,2669.361343
661.753498,194,2670.736129
586.285974,187,2721.845873
623.370691,190,2723.219266
602.951815,183,2724.439794
567.803054,182,2725.595772
649.73388,203,2726.934961
545.1482,175,2728.126644
591.82929,192,2729.431224
566.645567,172,2730.558333
616.841905,187,2731.795762
584.416735,178,2732.907608
664.713104,211,2734.261385
603.463872,179,2788.963898
377.195624,134,2789.80556
422.338892,148,2790.787529
596.60452,196,2792.037161
326.912825,125,2792.999849
465.787077,157,2794.050239
637.57582,201,2795.392389
626.779305,196,2796.679975
625.231147,196,2797.969376
367.95602,135,2798.88218
647.5826,198,2800.182358
639.855587,204,2801.505891
775.555025,242,2853.273022
588.641685,173,2854.475456
641.657607,206,2855.821115
542.700354,164,2856.930773
579.908758,182,2858.211016
624.868551,191,2859.507141
615.63391,182,2860.695358
655.6606,194,2861.892901
598.462937,183,2863.136123
354.69976,134,2864.031975
557.432965,175,2865.131742
534.753163,169,2912.172222
598.859021,195,2913.458057
601.955236,203,2914.727471
743.826279,222,2916.171775
733.36838,226,2917.71156
732.099606,227,2919.159217
503.932363,167,2920.198001
579.199015,189,2921.454611
604.214112,187,2922.665027
599.211157,182,2923.901262
627.929211,193,2971.707001
671.235046,197,2972.936545
582.766608,189,2974.194721
647.733213,204,2975.502267
536.609716,167,2976.555061
756.956035,228,2978.020627
649.227718,208,2979.360708
537.420433,173,2980.501372
636.327064,199,2981.834439
491.613098,158,2982.860781
639.874533,202,2984.205763
558.453522,176,3032.074871
634.567276,195,3033.305453
585.741546,189,3034.443063
639.580929,194,3035.728322
756.035929,238,3037.376843
628.601239,193,3038.701707
594.436027,186,3039.962891
690.809711,213,3041.359173
673.215092,210,3042.735446
804.118115,242,3044.257237
773.602064,236,3096.129936
609.411975,197,3097.407851
463.695999,153,3098.43293
586.474731,197,3099.849347
635.601621,197,3101.202242
549.213994,178,3102.510811
813.346546,242,3104.144558
642.448087,206,3105.579932
643.683629,200,3106.879624
618.507272,199,3108.143919
637.176476,198,3158.09234
758.397403,230,3159.675764
718.891319,221,3161.152555
630.754633,188,3162.31587
691.597839,213,3163.6907
783.663563,244,3165.255989
543.14878,174,3166.373152
655.610489,210,3167.722221
606.837122,188,3168.965093
858.528331,261,3170.755716
608.643092,183,3222.813917
658.012928,203,3224.196547
617.999591,190,3225.514338
593.483068,189,3226.723077
640.847558,194,3227.977837
692.47337,216,3229.587692
779.972049,247,3231.186028
630.534927,203,3232.535829
617.481825,188,3233.92531
736.203609,234,3235.654718
791.280926,239,3290.974625
642.654926,195,3292.257976
616.201662,184,3293.526704
612.333711,184,3294.764268
755.936947,238,3296.380601
590.618738,181,3297.617884
583.174302,177,3298.946299
777.311151,229,3300.444049
612.37957,186,3301.661801
662.376345,210,3303.133467
632.237532,202,3359.361829
701.613844,220,3360.848118
858.160525,263,3362.566149
602.936625,182,3363.768806
668.082205,209,3365.094496
661.981767,200,3366.380338
637.013093,194,3367.653094
587.942476,182,3368.832552
863.385882,256,3370.439455
697.115715,213,3431.184812
732.342602,228,3432.668774
858.167899,259,3434.353277
813.484379,245,3435.994745
696.175475,218,3437.434894
685.697774,211,3438.817745
821.701091,246,3440.636098
628.061598,200,3442.00001
629.786592,203,3443.329593
574.337388,176,3444.524747
712.799058,216,3497.935497
623.900957,191,3499.232713
631.719916,201,3500.539735
632.079381,189,3501.78682
637.196494,194,3503.047299
998.212587,300,3505.013757
611.13113,192,3506.308079
644.394653,209,3507.689429
704.552251,221,3509.108064
643.555639,200,3568.130677
557.794595,170,3569.206763
782.765011,235,3570.670953
863.885572,261,3572.261998
874.544589,258,3573.834689
606.041942,182,3575.103719
816.033864,249,3576.774499
801.353486,241,3578.416302
664.194722,198,3579.774487
680.545075,216,3581.244956
653.63155,200,3634.131897
802.522148,239,3635.767055
571.602502,175,3636.913651
726.226244,227,3638.510909
733.296095,223,3640.083312
734.655046,226,3641.618121
784.878098,237,3643.195654
940.796789,287,3645.12807
632.235045,190,3646.405834
871.994696,256,3700.38363
642.694183,196,3701.668608
600.565571,182,3702.956054
958.134356,291,3704.9942
635.750416,191,3706.243136
755.223234,230,3707.822855
597.09088,188,3709.120056
640.216653,198,3710.549754
784.504253,236,3712.171031
702.511564,219,3767.040759
817.363677,251,3768.855464
625.155214,192,3770.155954
860.429832,261,3771.852269
656.91186,202,3773.233698
823.348078,246,3774.965956
734.280419,221,3776.536651
632.695518,196,3777.945513
648.596891,201,3779.286412
692.290807,214,3780.778106
746.361087,226,3841.825671
715.205301,218,3843.327315
